Kasus_ID,Specialty,Dataset,Mode,P_original,P_masked,Delta_P,Masked_Tokens
CASE_019,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.761281,0.838625,-0.077343,"[' don', ' wouldn', ' won', ' echo', '.']"
CASE_020,Consult - History and Phy.,A_CLEAN,BASELINE,0.411823,0.219097,0.192726,"[',', ',', '.,', ',', ' PLAN']"
CASE_020,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.31695,0.160155,0.156795,"[',', ',', '.,', ' PLAN', 'MENT']"
CASE_020,Consult - History and Phy.,B_NOISY,BASELINE,0.570099,0.640614,-0.070515,"[' don', 'Hi', ' don', ' don', '?']"
CASE_020,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.749085,0.600828,0.148257,"[' don', 'Hi', ' don', ' don', '?']"
CASE_021,Consult - History and Phy.,A_CLEAN,BASELINE,0.985594,0.066883,0.91871,"[' M', ' ', '.', ':', ' ']"
CASE_021,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.903701,0.198242,0.705458,"[' M', ' ', '.', ' ', 'en']"
CASE_021,Consult - History and Phy.,B_NOISY,BASELINE,0.443424,0.632985,-0.189561,"[' isn', ' don', ' don', ' don', 'Hi']"
CASE_021,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.760383,0.636808,0.123575,"[' don', ' don', ' isn', 'Hi', ' don']"
CASE_022,Consult - History and Phy.,A_CLEAN,BASELINE,0.344343,0.133887,0.210456,"[' ', '.', ' ', ' He', ' ']"
CASE_022,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.406502,0.139094,0.267408,"[' ', '.', ' ', 'rim', ' ']"
CASE_022,Consult - History and Phy.,B_NOISY,BASELINE,0.746878,0.737323,0.009555,"['Oh', ' don', ' doesn', '!', ' don']"
CASE_022,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.770105,0.679754,0.090351,"['Oh', ' doesn', ' don', ' don', '!']"
CASE_023,Consult - History and Phy.,A_CLEAN,BASELINE,0.173139,0.127566,0.045573,"[',', ',', '.,', ':,', '.,']"
CASE_023,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.136123,0.090543,0.04558,"[',', ',', ':,', '.,', '.,']"
CASE_023,Consult - History and Phy.,B_NOISY,BASELINE,0.6322,0.532516,0.099684,"[' wasn', ' don', ' don', ' don', '?']"
CASE_023,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.735588,0.62132,0.114269,"[' wasn', ' don', ' don', ' don', '?']"
CASE_024,Consult - History and Phy.,A_CLEAN,BASELINE,0.137068,0.134855,0.002213,"[' no', ' are', ' There', ' ', ' The']"
CASE_024,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.110912,0.419297,-0.308385,"[' no', ' are', ' There', ' ', ' The']"
CASE_024,Consult - History and Phy.,B_NOISY,BASELINE,0.678048,0.641039,0.037008,"[' don', ' don', ' don', 'Doc', '?']"
CASE_024,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.706963,0.530954,0.176009,"[' don', 'Doc', ' don', ' don', '?']"
CASE_025,Consult - History and Phy.,A_CLEAN,BASELINE,0.334368,0.237968,0.0964,"[',', '.,', ':,', ',', 'A']"
CASE_025,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.260508,0.18239,0.078118,"['.,', ',', ':,', ',', '.,']"
